"","Detail","Price","Mileage"
"159","2021 Audi A5 2.0T Premium","$38,750","1,909 mi."
"160","2019 Audi A8 L 55","$47,995","45,877 mi."
"161","2020 Audi S4 3.0T Premium Plus","$47,994","10,009 mi."
"162","2010 Audi S5 3.0 Premium Plus quattro","$23,588","63,793 mi."
"163","2018 Audi A7 3.0T Premium Plus","$49,999","18,553 mi."
"164","2019 Audi Q7 55 Premium Plus","$34,991","68,546 mi."
"165","2019 Audi A6 3.0T Prestige","$47,747","25,427 mi."
"166","2019 Audi A6 3.0T Prestige","$44,300","34,387 mi."
"167","2016 Audi Q3 2.0T Prestige","$19,512","98,496 mi."
"168","2020 Audi S7 2.9T Premium Plus","$79,900","9,746 mi."
"169","2021 Audi RS Q8 4.0T quattro","$124,900","8,270 mi."
"170","2017 Audi R8 5.2 V10 plus","$159,990","21,107 mi."
"171","2019 Audi A6 3.0T Prestige","$41,505","44,707 mi."
"172","2018 Audi SQ5 3.0T Premium Plus","$40,483","28,555 mi."
"173","2018 Audi A7 3.0T Premium Plus","$44,977","60,701 mi."
"174","2018 Audi SQ5 3.0T Premium Plus","$39,994","44,963 mi."
"175","2019 Audi A6 55 Premium","$36,587","52,648 mi."
"176","2020 Audi A8 L 60","$67,987","24,260 mi."
"177","2019 Audi Q7 55 Premium","$30,987","84,575 mi."
"178","2016 Audi allroad 2.0T Premium Plus","$28,990","40,015 mi."
"179","2011 Audi Q5 3.2 Premium Plus","$14,995","118,743 mi."
"180","2021 Audi Q5 e 55 Premium","$54,916","19,814 mi."
"181","2018 Audi A3 2.0T Premium","$25,500","50,365 mi."
"182","2014 Audi RS 7 4.0T Prestige","$63,995","64,455 mi."
"183","2019 Audi A6 55 Premium","$45,250","23,215 mi."
"184","2015 Audi RS 7 4.0T Prestige","$69,995","60,423 mi."
"185","2019 Audi A6 3.0T Prestige","$42,495","53,542 mi."
"186","2019 Audi Q5 2.0T Premium","$37,143","12,911 mi."
"187","2017 Audi A7 3.0T Premium Plus","$35,000","78,589 mi."
"188","2016 Audi A8 L 4.0T","$37,500","43,361 mi."
"189","2018 Audi SQ5 3.0T Premium Plus","$31,990","81,823 mi."
"190","2010 Audi Q5 3.2 Premium Plus","$11,999","129,791 mi."
"191","2017 Audi R8 5.2 quattro","$126,877","50,226 mi."
"192","2020 Audi Q3 Premium Plus","$34,990","22,052 mi."
"193","2021 Audi A6 45 Sport Premium","$51,319","1,574 mi."
"194","2018 Audi Q5 2.0T Premium Plus","$33,196","61,671 mi."
"195","2022 Audi SQ7 4.0T","$87,000","4,439 mi."
"196","2018 Audi Q5 2.0T Tech Premium","$33,999","32,385 mi."
"197","2019 Audi A6 3.0T Premium Plus","$38,592","51,678 mi."
"198","2022 Audi A4 45 S line quattro Premium","$45,899","5,226 mi."
"199","2020 Audi SQ5 3.0T Premium","$46,993","20,103 mi."
"200","2019 Audi A6 55 Prestige","$62,950","9,701 mi."
"201","2018 Audi TT 2.0T","$43,680","35,113 mi."
"202","2019 Audi RS 5 2.9T","$66,991","27,162 mi."
"203","2019 Audi Q8 3.0T Premium Plus","$50,931","57,989 mi."
"204","2021 Audi Q8 55 Premium","$55,962","42,570 mi."
"205","2018 Audi S4 3.0T Prestige","$46,995","65,101 mi."
"206","2010 Audi A6 3.0 Premium quattro","$16,990","69,928 mi."
"207","2019 Audi Q8 3.0T Prestige","$63,996","37,909 mi."
"208","2018 Audi A5 2.0T Premium Plus","$29,344","63,903 mi."
"209","2020 Audi A6 55 Prestige","$52,895","13,240 mi."
"210","2016 Audi A8 3.0T","$34,499","47,782 mi."
"211","2020 Audi A4 45 Premium","$31,000","38,276 mi."
"212","2021 Audi A8 L 60","$84,500","1,958 mi."
"213","2014 Audi SQ5 3.0T Premium Plus","$19,450","114,417 mi."
"214","2015 Audi A8 L 3.0T","$28,982","51,268 mi."
"215","2019 Audi SQ5 3.0T Premium","$47,873","25,382 mi."
"216","2015 Audi A8 L 3.0T","$30,844","66,357 mi."
"217","2015 Audi A8 L 4.0T","$25,405","113,726 mi."
"218","2011 Audi R8 4.2 quattro","$77,995","52,850 mi."
"219","2021 Audi A5 45 S line quattro Premium","$43,991","10,572 mi."
"220","2021 Audi Q7 45 Premium","$57,749","18,486 mi."
"221","2018 Audi S4 3.0T Premium Plus","$41,577","17,153 mi."
"222","2018 Audi S4 3.0T Prestige","$35,477","91,596 mi."
"223","2022 Audi S4 3.0T Premium","$53,500","1,504 mi."
"224","2017 Audi A4 2.0T Premium Plus","$25,963","54,356 mi."
"225","2020 Audi SQ5 Premium Plus","$45,997","49,648 mi."
"226","2021 Audi A8 L 60","$82,571","4,162 mi."
"227","2019 Audi SQ5 3.0T Premium","$47,799","40,641 mi."
"228","2018 Audi SQ5 3.0T Premium Plus","$38,855","39,252 mi."
"229","2020 Audi A8 L 60","$63,900","49,485 mi."
"230","2018 Audi S4 3.0T Premium Plus","$37,800","48,979 mi."
"231","2020 Audi SQ5 3.0T Premium","$51,900","32,938 mi."
"232","2021 Audi A5 2.0T Prestige","$47,850","17,159 mi."
"233","2018 Audi S3 2.0T Premium Plus","$32,550","85,103 mi."
"234","2019 Audi A8 L 55","$54,500","19,714 mi."
"235","2021 Audi A8 L 55","$66,368","24,402 mi."
"236","2019 Audi S4 3.0T Premium","$49,744","6,973 mi."
"237","2018 Audi S4 3.0T Premium Plus","$35,900","77,289 mi."
